study_stage,gamma,shift,sample_size,process_noise_sd,behavior_action_sd,feature_regime,seed,estimator,target_q_mse,target_q_mse_se,behavior_q_mse,behavior_q_mse_se,policy_value_estimate,policy_value_true,policy_value_error,policy_value_absolute_error,policy_value_squared_error,initial_v_mse,initial_v_mse_se,behavior_v_mse,behavior_v_mse_se,target_v_mse,target_v_mse_se,behavior_bellman_residual_mse,target_bellman_residual_mse,weight_mean,weight_std,weight_max,weight_q90,weight_q95,weight_q99,effective_sample_size,effective_sample_size_fraction,fraction_clipped,chosen_uniform_mix,clip_level,oracle_log_ratio_rmse,oracle_estimated_weight_corr,oracle_estimated_weight_mae,oracle_estimated_weight_rel_mse,weighted_design_condition_number,unstable_run_flag,unstable_reason,n_seeds,policy_value_bias,policy_value_variance,policy_value_mse,unstable_run_count,unstable_run_fraction
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,estimated_weighted_fqe,3.3240486450831077,0.045406273292232666,3.3220802047968285,0.043945469035908784,-12.113673869082124,-11.831586406340456,-0.28208746274166535,0.28208746274166535,0.10480394206771111,5.217254231381297,0.15091963474753817,3.2093126623822728,0.04676910570064809,3.1848420711221506,0.047962776530231954,0.35170852829223626,0.36324429691465454,1.0,0.1461086325891308,1.8111175582210581,1.1570564081341463,1.210649039104436,1.3570100007266421,978.0324070715333,0.9780324070715333,0.0,0.0,nan,0.25921391149604395,nan,0.10534518954663397,0.022571551221038242,204.2942127800008,0.05,finite_sample_variance_or_clipping,20,-0.28208746274166535,0.02523060543168067,0.10480394206771111,1,0.05
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,estimated_weighted_fqe_clip95,3.236955429102005,0.04532793234361402,3.2343171217263027,0.043809050277616376,-12.078729980833923,-11.831586406340456,-0.24714357449346408,0.28855102260223464,0.11011024473477415,5.27968965746957,0.15391449629265017,3.122845168591369,0.04664248132025391,3.099373095583737,0.04797892346229898,0.3530870680749855,0.36474883444079614,1.0,0.13264573663967666,1.2167874344326246,1.1629083622023746,1.2167121084076702,1.2167874344326246,981.6921493123024,0.9816921493123022,0.05000000000000001,0.0,1.2106198120784175,0.25276805351280135,nan,0.10085193012088978,0.018733155506380997,202.9060157750274,0.0,stable,20,-0.24714357449346408,0.049030298321367724,0.11011024473477415,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,estimated_weighted_fqe_clip99_ess40,3.2908007309743974,0.0454478287455155,3.2885304729569347,0.04394699293195966,-12.088119320605585,-11.831586406340456,-0.2565329142651275,0.2811841805005268,0.10286552201857999,5.244830925508362,0.15277644681534214,3.1763850629417454,0.04679888779146595,3.1527796693333388,0.04810171819602719,0.35223336997523547,0.36394742692784077,1.0,0.1397612467120292,1.3590846487300738,1.1587722871638235,1.2124485899694042,1.3589598530091709,979.8886661615472,0.9798886661615474,0.010000000000000002,0.0,1.356980606424423,0.2571135807413282,nan,0.10399704464498487,0.02061330283392943,203.6064088479648,0.0,stable,20,-0.2565329142651275,0.03705638591722073,0.10286552201857999,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,estimated_weighted_fqe_clipped,3.2908007309743974,0.0454478287455155,3.2885304729569347,0.04394699293195966,-12.088119320605585,-11.831586406340456,-0.2565329142651275,0.2811841805005268,0.10286552201857999,5.244830925508362,0.15277644681534214,3.1763850629417454,0.04679888779146595,3.1527796693333388,0.04810171819602719,0.35223336997523547,0.36394742692784077,1.0,0.1397612467120292,1.3590846487300738,1.1587722871638235,1.2124485899694042,1.3589598530091709,979.8886661615472,0.9798886661615474,0.010000000000000002,0.0,1.356980606424423,0.2571135807413282,nan,0.10399704464498487,0.02061330283392943,203.6064088479648,0.0,stable,20,-0.2565329142651275,0.03705638591722073,0.10286552201857999,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,oracle_weighted_fqe,3.280763315993282,0.04393779043461495,3.2735118986834886,0.0425803379596288,-12.384566548783628,-11.831586406340456,-0.5529801424431724,0.6267445201563807,0.47866045033211124,5.430858338932819,0.1385801033308362,3.1597511594162904,0.044967542390843204,3.134245828487294,0.04607921150917252,0.36191387206946835,0.37248982118299895,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,204.44797949411128,0.0,stable,20,-0.5529801424431724,0.17287341239564008,0.47866045033211124,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,oracle_weighted_fqe_clipped,3.280763315993282,0.04393779043461495,3.2735118986834886,0.0425803379596288,-12.384566548783628,-11.831586406340456,-0.5529801424431724,0.6267445201563807,0.47866045033211124,5.430858338932819,0.1385801033308362,3.1597511594162904,0.044967542390843204,3.134245828487294,0.04607921150917252,0.36191387206946835,0.37248982118299895,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,204.44797949411128,0.0,stable,20,-0.5529801424431724,0.17287341239564008,0.47866045033211124,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_affine,9.5,standard_fqe,3.280763315993282,0.04393779043461495,3.2735118986834886,0.0425803379596288,-12.384566548783628,-11.831586406340456,-0.5529801424431724,0.6267445201563807,0.47866045033211124,5.430858338932819,0.1385801033308362,3.1597511594162904,0.044967542390843204,3.134245828487294,0.04607921150917252,0.36191387206946835,0.37248982118299895,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,204.44797949411128,0.0,stable,20,-0.5529801424431724,0.17287341239564008,0.47866045033211124,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,estimated_weighted_fqe,0.014018140492453382,0.00034650558554262664,0.013969003926349302,0.00034787991210076996,-11.754163175402162,-11.831586406340456,0.07742323093829526,0.08952649770996324,0.01195637886361862,0.036462371201517726,0.0008837137838089568,0.011734261614719754,0.00023529159631106443,0.011706314306972887,0.0002198299124517657,0.004304211636956633,0.004387658454114465,1.0,0.1461086325891308,1.8111175582210581,1.1570564081341463,1.210649039104436,1.3570100007266421,978.0324070715333,0.9780324070715333,0.0,0.0,nan,0.25921391149604395,nan,0.10534518954663397,0.022571551221038242,563.0767901108187,0.05,finite_sample_variance_or_clipping,20,0.07742323093829526,0.005962022174694017,0.01195637886361862,1,0.05
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,estimated_weighted_fqe_clip95,0.013737148372126334,0.0003467219976271007,0.013689734920696523,0.00035034674440862884,-11.755873879637521,-11.831586406340456,0.07571252670293553,0.08765706063199268,0.011618459977657784,0.036822134040839186,0.0009093756301127833,0.01149480981676612,0.0002421563254207496,0.01145786837936479,0.00022493484524757564,0.004303762202479218,0.004383080206779753,1.0,0.13264573663967666,1.2167874344326246,1.1629083622023746,1.2167121084076702,1.2167874344326246,981.6921493123024,0.9816921493123022,0.05000000000000001,0.0,1.2106198120784175,0.25276805351280135,nan,0.10085193012088978,0.018733155506380997,538.8043282100147,0.0,stable,20,0.07571252670293553,0.005886073277915056,0.011618459977657784,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,estimated_weighted_fqe_clip99_ess40,0.013861002460837166,0.0003465612371022159,0.013816397501906533,0.00034999542160403177,-11.75583818477398,-11.831586406340456,0.07574822156647879,0.0881262249161403,0.011686299830533762,0.03661891777814717,0.0009013178198583235,0.011604993159311735,0.00023975846371751362,0.011573369489107721,0.00022371263046601163,0.004307203253609492,0.004385417513682576,1.0,0.1397612467120292,1.3590846487300738,1.1587722871638235,1.2124485899694042,1.3589598530091709,979.8886661615472,0.9798886661615474,0.010000000000000002,0.0,1.356980606424423,0.2571135807413282,nan,0.10399704464498487,0.02061330283392943,549.4631780919213,0.0,stable,20,0.07574822156647879,0.0059485067600494,0.011686299830533762,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,estimated_weighted_fqe_clipped,0.013861002460837166,0.0003465612371022159,0.013816397501906533,0.00034999542160403177,-11.75583818477398,-11.831586406340456,0.07574822156647879,0.0881262249161403,0.011686299830533762,0.03661891777814717,0.0009013178198583235,0.011604993159311735,0.00023975846371751362,0.011573369489107721,0.00022371263046601163,0.004307203253609492,0.004385417513682576,1.0,0.1397612467120292,1.3590846487300738,1.1587722871638235,1.2124485899694042,1.3589598530091709,979.8886661615472,0.9798886661615474,0.010000000000000002,0.0,1.356980606424423,0.2571135807413282,nan,0.10399704464498487,0.02061330283392943,549.4631780919213,0.0,stable,20,0.07574822156647879,0.0059485067600494,0.011686299830533762,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,oracle_weighted_fqe,0.01346929354144969,0.0003547951739322166,0.013387144857396543,0.0003591243756307417,-11.761178040590996,-11.831586406340456,0.07040836574946008,0.08492039293940516,0.011380709059336717,0.039239035372962416,0.00098844095463505,0.011248527291456046,0.00027190850853507756,0.011185883502792199,0.00024883921521969406,0.004373970786575272,0.004472900120137404,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,604.4514139281621,0.0,stable,20,0.07040836574946008,0.006423371091826976,0.011380709059336717,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,oracle_weighted_fqe_clipped,0.01346929354144969,0.0003547951739322166,0.013387144857396543,0.0003591243756307417,-11.761178040590996,-11.831586406340456,0.07040836574946008,0.08492039293940516,0.011380709059336717,0.039239035372962416,0.00098844095463505,0.011248527291456046,0.00027190850853507756,0.011185883502792199,0.00024883921521969406,0.004373970786575272,0.004472900120137404,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,604.4514139281621,0.0,stable,20,0.07040836574946008,0.006423371091826976,0.011380709059336717,0,0.0
final,0.95,0.0,1000,0.05,0.1,misspecified_diag_quad,9.5,standard_fqe,0.01346929354144969,0.0003547951739322166,0.013387144857396543,0.0003591243756307417,-11.761178040590996,-11.831586406340456,0.07040836574946008,0.08492039293940516,0.011380709059336717,0.039239035372962416,0.00098844095463505,0.011248527291456046,0.00027190850853507756,0.011185883502792199,0.00024883921521969406,0.004373970786575272,0.004472900120137404,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,604.4514139281621,0.0,stable,20,0.07040836574946008,0.006423371091826976,0.011380709059336717,0,0.0
final,0.95,0.0,1000,0.05,0.1,well_specified,9.5,estimated_weighted_fqe,0.008180789949935499,8.218199223970375e-05,0.008187837881517123,8.182798447508397e-05,-11.751577327727105,-11.831586406340456,0.08000907861335191,0.08624080917579784,0.009785112937858945,0.01530915015852775,0.00024309250968518244,0.008040256797785243,8.272310120288388e-05,0.008050529913605331,8.296982082907776e-05,0.00046560852626245506,0.00047484080142243154,1.0,0.1461086325891308,1.8111175582210581,1.1570564081341463,1.210649039104436,1.3570100007266421,978.0324070715333,0.9780324070715333,0.0,0.0,nan,0.25921391149604395,nan,0.10534518954663397,0.022571551221038242,3965.4005366210963,0.05,finite_sample_variance_or_clipping,20,0.08000907861335191,0.003383660277301417,0.009785112937858945,1,0.05
final,0.95,0.0,1000,0.05,0.1,well_specified,9.5,estimated_weighted_fqe_clip95,0.008082625843113376,8.027148271033749e-05,0.008094374762499695,8.07007983864392e-05,-11.75163027524702,-11.831586406340456,0.07995613109343847,0.08603920095823411,0.009884789521341485,0.015190152348809735,0.00023853135743261326,0.00795685446056053,8.209220868936098e-05,0.007961730254367387,8.16076453460121e-05,0.00044340027258849923,0.00044817342748977124,1.0,0.13264573663967666,1.2167874344326246,1.1629083622023746,1.2167121084076702,1.2167874344326246,981.6921493123024,0.9816921493123022,0.05000000000000001,0.0,1.2106198120784175,0.25276805351280135,nan,0.10085193012088978,0.018733155506380997,3741.4592096694205,0.0,stable,20,0.07995613109343847,0.0034918066219103705,0.009884789521341485,0,0.0
final,0.95,0.0,1000,0.05,0.1,well_specified,9.5,estimated_weighted_fqe_clip99_ess40,0.008118023443095552,8.06219983795083e-05,0.008130841641717698,8.098194174231583e-05,-11.752279445875013,-11.831586406340456,0.07930696046544491,0.08542835472409775,0.009759605589577329,0.01512460379581566,0.0002397376842295989,0.007989225276160666,8.20845797222537e-05,0.007995475599493786,8.186779071240883e-05,0.00044931477580608975,0.0004538709645396992,1.0,0.1397612467120292,1.3590846487300738,1.1587722871638235,1.2124485899694042,1.3589598530091709,979.8886661615472,0.9798886661615474,0.010000000000000002,0.0,1.356980606424423,0.2571135807413282,nan,0.10399704464498487,0.02061330283392943,3839.9200484476205,0.0,stable,20,0.07930696046544491,0.0034700116113096846,0.009759605589577329,0,0.0
