study_stage,gamma,shift,sample_size,process_noise_sd,behavior_action_sd,feature_regime,seed,estimator,target_q_mse,target_q_mse_se,behavior_q_mse,behavior_q_mse_se,policy_value_estimate,policy_value_true,policy_value_error,policy_value_absolute_error,policy_value_squared_error,initial_v_mse,initial_v_mse_se,behavior_v_mse,behavior_v_mse_se,target_v_mse,target_v_mse_se,behavior_bellman_residual_mse,target_bellman_residual_mse,weight_mean,weight_std,weight_max,weight_q90,weight_q95,weight_q99,effective_sample_size,effective_sample_size_fraction,fraction_clipped,chosen_uniform_mix,clip_level,oracle_log_ratio_rmse,oracle_estimated_weight_corr,oracle_estimated_weight_mae,oracle_estimated_weight_rel_mse,weighted_design_condition_number,unstable_run_flag,unstable_reason,value_gamma,ratio_gamma,reference_distribution,data_mode,fqe_family,ratio_estimator,ratio_moment_violation_l2,ratio_normalization_error,target_ratio_feature_calibration_l2,target_fqe_feature_calibration_l2,ratio_solver,n_seeds,policy_value_bias,policy_value_variance,policy_value_mse,unstable_run_count,unstable_run_fraction
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,linear_estimated_clipped_fqe,3.20933652596717,0.04372012712801721,3.2084129540713326,0.043616596134065634,-12.151967971688787,-11.831586406340456,-0.32038156534832735,0.32038156534832735,0.1065742703908229,5.24344707098449,0.15806541659192902,3.0922607137224007,0.04694894597801479,3.0864585032115643,0.04672052495903535,0.35595531442174255,0.3536804621897888,1.0,0.06825072867837437,1.1828564705994717,1.0768246694056658,1.1055144732731532,1.1828413306235612,3980.467483853715,0.9951168709634287,0.009999999999999998,0.0,1.182075604958833,0.07845488384692872,nan,0.04978834204885623,0.004913043814736333,204.1736205963921,0.0,stable,0.95,0.95,discounted,matched_iid,linear,linear_clipped,0.003756021618138492,-2.3323863676973923e-05,0.00511880127455569,0.004666337908212959,linear_reduced_moment,100,-0.32038156534832735,0.003929922975778325,0.1065742703908229,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,linear_neural_weighted_clipped_fqe,2.935200731733522,0.039902114960543716,2.944962301711807,0.04110775707952963,-12.317448966840313,-11.831586406340456,-0.48586256049985527,0.48586256049985527,0.26238505752509356,5.293819135986653,0.1454096143375449,2.816621974893838,0.0424903903525355,2.816699067473377,0.04437545313490137,0.35517737100999996,0.3544928346950353,1.0,0.04906185829781194,1.126111509793303,1.0486831406969546,1.0680153106149646,1.126102192283384,3989.314439486728,0.9973286098716821,0.010000000000000002,0.0,1.1225663878321643,0.05025314189785472,nan,0.03511961048053712,0.0026820933012278157,202.64414906107436,0.0,stable,0.95,0.95,discounted,matched_iid,linear,neural_clipped,0.029246560985205495,-0.002778232387080798,0.012643308253935814,0.012531683142280554,neural_positive_rkhs_moment,20,-0.48586256049985527,0.026322629829618104,0.26238505752509356,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,linear_oracle_clipped_fqe,3.271350843977761,0.04395750824149678,3.270410590417066,0.04379346561690085,-12.183094085433707,-11.831586406340456,-0.35150767909325126,0.35775431531494406,0.16585797637684802,5.267974856445404,0.15618288182109358,3.1522469815118574,0.04703302052934968,3.147242870426028,0.046900198395392036,0.35783992110386437,0.3554920399766299,1.0,0.0,1.0,1.0,1.0,1.0,4000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,204.26377885249013,0.0,stable,0.95,0.95,discounted,matched_iid,linear,oracle_clipped,0.0,0.0,0.007079118969576566,0.006364012556348143,oracle_exact_clipped,100,-0.35150767909325126,0.04230032791532391,0.16585797637684802,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,linear_oracle_raw_fqe,3.271350843977761,0.04395750824149678,3.270410590417066,0.04379346561690085,-12.183094085433707,-11.831586406340456,-0.35150767909325126,0.35775431531494406,0.16585797637684802,5.267974856445404,0.15618288182109358,3.1522469815118574,0.04703302052934968,3.147242870426028,0.046900198395392036,0.35783992110386437,0.3554920399766299,1.0,0.0,1.0,1.0,1.0,1.0,4000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,204.26377885249013,0.0,stable,0.95,0.95,discounted,matched_iid,linear,oracle_raw,0.0,0.0,0.007079118969576566,0.006364012556348143,oracle_exact,100,-0.35150767909325126,0.04230032791532391,0.16585797637684802,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,linear_standard_fqe,3.271350843977761,0.04395750824149678,3.270410590417066,0.04379346561690085,-12.183094085433707,-11.831586406340456,-0.35150767909325126,0.35775431531494406,0.16585797637684802,5.267974856445404,0.15618288182109358,3.1522469815118574,0.04703302052934968,3.147242870426028,0.046900198395392036,0.35783992110386437,0.3554920399766299,1.0,0.0,1.0,1.0,1.0,1.0,4000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,204.26377885249013,0.0,stable,0.95,0.95,discounted,matched_iid,linear,standard,nan,0.0,0.007079118969576566,0.006364012556348143,uniform,100,-0.35150767909325126,0.04230032791532391,0.16585797637684802,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,neural_estimated_clipped_fqe,1.449091576405018,0.07904722554068849,1.4604016941920244,0.08162563073613152,-8.595263453941817,-11.831586406340456,3.2363229523986425,3.2363229523986425,10.489999065359973,16.53884536555832,0.3502048173034142,1.453010582197511,0.08977324726286344,1.4271909206352358,0.09259849291242411,0.2546432577568115,0.2529389700944536,1.0,0.06541433463084764,1.1813497620140985,1.0638341032363479,1.094025231148453,1.181334514325507,3981.4424911193446,0.9953606227798361,0.010000000000000002,0.0,1.1806875211132115,0.08130741726913777,nan,0.04565557517112392,0.004672313527104515,205.87660194365125,0.0,stable,0.95,0.95,discounted,matched_iid,neural,linear_clipped,0.0036083472626187102,-2.1703267873574016e-05,0.004856099026631631,0.004909181227257405,linear_reduced_moment,20,3.2363229523986425,0.016212813137704705,10.489999065359973,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,neural_neural_weighted_clipped_fqe,1.4343104734192618,0.07772258000407131,1.4455978730818633,0.08026901862715372,-8.628565267826719,-11.831586406340456,3.203021138513738,3.203021138513738,10.280606575544239,16.229227370404136,0.34410468320675835,1.4379593333683505,0.0882383504952681,1.4133363574168276,0.09114181177158467,0.24827014419664986,0.24676851301026398,1.0,0.04906185829781194,1.126111509793303,1.0486831406969546,1.0680153106149646,1.126102192283384,3989.314439486728,0.9973286098716821,0.010000000000000002,0.0,1.1225663878321643,0.05025314189785472,nan,0.03511961048053712,0.0026820933012278157,202.64414906107436,0.0,stable,0.95,0.95,discounted,matched_iid,neural,neural_clipped,0.029246560985205495,-0.002778232387080798,0.012643308253935814,0.012531683142280554,neural_positive_rkhs_moment,20,3.203021138513738,0.021262161778398934,10.280606575544239,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,neural_oracle_clipped_fqe,1.4381316040057033,0.0778847722666203,1.449086433673092,0.08034810120499768,-8.617957891531656,-11.831586406340456,3.2136285148088026,3.2136285148088026,10.349643155652723,16.29342975620001,0.34447706574451253,1.4420713025373888,0.08845115059249253,1.4170497246576952,0.09135055445573811,0.24915047602870213,0.24785268063475585,1.0,0.0,1.0,1.0,1.0,1.0,4000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,204.6704247747645,0.0,stable,0.95,0.95,discounted,matched_iid,neural,oracle_clipped,0.0,0.0,0.006544118967039191,0.005981355931077006,oracle_exact_clipped,20,3.2136285148088026,0.02223492446048506,10.349643155652723,0,0.0
gamma_paper,0.95,0.0,4000,0.05,0.1,misspecified_affine,0,neural_standard_fqe,1.4381316040057033,0.0778847722666203,1.449086433673092,0.08034810120499768,-8.617957891531656,-11.831586406340456,3.2136285148088026,3.2136285148088026,10.349643155652723,16.29342975620001,0.34447706574451253,1.4420713025373888,0.08845115059249253,1.4170497246576952,0.09135055445573811,0.24915047602870213,0.24785268063475585,1.0,0.0,1.0,1.0,1.0,1.0,4000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,204.6704247747645,0.0,stable,0.95,0.95,discounted,matched_iid,neural,standard,nan,0.0,0.006544118967039191,0.005981355931077006,uniform,20,3.2136285148088026,0.02223492446048506,10.349643155652723,0,0.0
gamma_paper,0.95,1.1,4000,0.05,0.1,misspecified_affine,0,linear_estimated_clipped_fqe,16.172393393089997,0.2848708506537264,29.79341809842747,0.9750330280834474,-10.914028219219688,-11.831586406340456,0.917558187120769,6.23135145262693,66.41444318344199,78.37436460107237,0.8025278197611584,29.404897735030442,0.8247041997764143,15.937144589961488,0.3199640589255111,4.631441474039891,1.1818246631284304,1.0,1.2244116105768665,4.962347345902481,2.9133414245369895,3.6293881135177575,4.962176878721012,1600.5276732991379,0.40013191832478445,0.009999999999999998,0.06076160278264434,6.5359263644594945,13.445005254294337,0.2846197817101046,1.268127972223397,0.8795303090274311,274.9403734376547,0.0,stable,0.95,0.95,discounted,matched_iid,linear,linear_clipped,0.26820561508725344,-0.001314329258839978,0.18508823246627304,0.18038451264364538,linear_reduced_moment,100,0.917558187120769,65.57253015668964,66.41444318344199,0,0.0
