study_stage,gamma,shift,sample_size,process_noise_sd,behavior_action_sd,feature_regime,seed,estimator,target_q_mse,target_q_mse_se,behavior_q_mse,behavior_q_mse_se,policy_value_estimate,policy_value_true,policy_value_error,policy_value_absolute_error,policy_value_squared_error,initial_v_mse,initial_v_mse_se,behavior_v_mse,behavior_v_mse_se,target_v_mse,target_v_mse_se,behavior_bellman_residual_mse,target_bellman_residual_mse,weight_mean,weight_std,weight_max,weight_q90,weight_q95,weight_q99,effective_sample_size,effective_sample_size_fraction,fraction_clipped,chosen_uniform_mix,clip_level,oracle_log_ratio_rmse,oracle_estimated_weight_corr,oracle_estimated_weight_mae,oracle_estimated_weight_rel_mse,weighted_design_condition_number,unstable_run_flag,unstable_reason,value_gamma,ratio_gamma,reference_distribution,data_mode,fqe_family,ratio_estimator,ratio_moment_violation_l2,ratio_normalization_error,target_ratio_feature_calibration_l2,target_fqe_feature_calibration_l2,ratio_solver
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,linear_standard_fqe,2.781736133161922,0.04275646822234898,2.7627852711539385,0.03849114551659876,-12.317964813518397,-11.831586406340458,-0.48637840717793956,0.48637840717793956,0.23656395496894958,5.285962282306464,0.1338032216788413,2.658093623289494,0.03854759673849551,2.614896873981019,0.03850711370813455,0.35253851738526315,0.3827771705356146,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,195.5298618647551,0.0,stable,0.95,0.95,discounted,matched_iid,linear,standard,nan,0.0,0.01953968724761556,0.018255151800940176,uniform
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,linear_oracle_raw_fqe,2.781736133161922,0.04275646822234898,2.7627852711539385,0.03849114551659876,-12.317964813518397,-11.831586406340458,-0.48637840717793956,0.48637840717793956,0.23656395496894958,5.285962282306464,0.1338032216788413,2.658093623289494,0.03854759673849551,2.614896873981019,0.03850711370813455,0.35253851738526315,0.3827771705356146,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,195.5298618647551,0.0,stable,0.95,0.95,discounted,matched_iid,linear,oracle_raw,0.0,0.0,0.01953968724761556,0.018255151800940176,oracle_exact
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,linear_oracle_clipped_fqe,2.781736133161922,0.04275646822234898,2.7627852711539385,0.03849114551659876,-12.317964813518397,-11.831586406340458,-0.48637840717793956,0.48637840717793956,0.23656395496894958,5.285962282306464,0.1338032216788413,2.658093623289494,0.03854759673849551,2.614896873981019,0.03850711370813455,0.35253851738526315,0.3827771705356146,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,195.5298618647551,0.0,stable,0.95,0.95,discounted,matched_iid,linear,oracle_clipped,0.0,0.0,0.01953968724761556,0.018255151800940176,oracle_exact_clipped
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,linear_estimated_clipped_fqe,2.9605179259263448,0.0450263947517195,2.938833236570907,0.040140001338894754,-12.095545696181702,-11.831586406340458,-0.26395928984124417,0.26395928984124417,0.06967450669349395,5.1459614628730606,0.14490388251278166,2.8536423558136703,0.0408737232652578,2.8144755346598007,0.04099487021137396,0.3477437924856256,0.3824822327532844,1.0,0.160564443466437,1.3387604995203393,1.1860600787679265,1.235172326349175,1.3387439030972734,974.8670115736626,0.9748670115736626,0.01,0.0,1.3381203592279414,0.17297992148613084,nan,0.12782158085856285,0.025780940505686644,206.72818463815733,0.0,stable,0.95,0.95,discounted,matched_iid,linear,linear_clipped,0.002924935230577956,-7.9788743226894e-05,0.005955752810964309,0.00450045926970841,linear_reduced_moment
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,linear_neural_weighted_clipped_fqe,2.097999193900604,0.03794160909131986,2.075267516802472,0.033731201161233126,-12.665601238773695,-11.831586406340458,-0.8340148324332368,0.8340148324332368,0.6955807407186401,5.772924034103928,0.12359896066596757,1.9632407017956945,0.03325909175988564,1.9283143455350473,0.033357731730447364,0.3553909736527031,0.38471392762750134,1.0,0.08561286219498179,1.1402436174620834,1.0937261737787904,1.106102172753252,1.1402274036519635,992.7237694112697,0.9927237694112697,0.01,0.0,1.1437697184085847,0.08904541086878619,nan,0.07021100410934648,0.007329562173216942,186.49259494201615,0.0,stable,0.95,0.95,discounted,matched_iid,linear,neural_clipped,0.0671304217444845,0.003219294607639256,0.04064051509100545,0.039654435199652865,neural_positive_rkhs_moment
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,neural_standard_fqe,1.9011597839121905,0.13516641485668635,1.7135593614988047,0.11388481491942896,-8.183054620570035,-11.831586406340458,3.648531785770423,3.648531785770423,13.311784191777113,24.106986700094847,0.5314473056359008,1.7899120852228256,0.1351515279579315,1.848185099834089,0.14104138420047896,0.4571260798366074,0.5399083391556839,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,195.5298618647551,0.0,stable,0.95,0.95,discounted,matched_iid,neural,standard,nan,0.0,0.01953968724761556,0.018255151800940176,uniform
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,neural_oracle_clipped_fqe,1.9011597839121905,0.13516641485668635,1.7135593614988047,0.11388481491942896,-8.183054620570035,-11.831586406340458,3.648531785770423,3.648531785770423,13.311784191777113,24.106986700094847,0.5314473056359008,1.7899120852228256,0.1351515279579315,1.848185099834089,0.14104138420047896,0.4571260798366074,0.5399083391556839,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,195.5298618647551,0.0,stable,0.95,0.95,discounted,matched_iid,neural,oracle_clipped,0.0,0.0,0.01953968724761556,0.018255151800940176,oracle_exact_clipped
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,neural_estimated_clipped_fqe,1.8169368624259614,0.1315985392523364,1.6322342762710165,0.11039311234597562,-8.268071590339963,-11.831586406340458,3.5635148160004952,3.5635148160004952,12.698637843855044,23.241647207965826,0.5185847961219517,1.7078113572691866,0.1311653010284741,1.7690529211665669,0.1371290298789144,0.45633399874147346,0.5406065914819121,1.0,0.160564443466437,1.3387604995203393,1.1860600787679265,1.235172326349175,1.3387439030972734,974.8670115736626,0.9748670115736626,0.01,0.0,1.3381203592279414,0.17297992148613084,nan,0.12782158085856285,0.025780940505686644,206.72818463815733,0.0,stable,0.95,0.95,discounted,matched_iid,neural,linear_clipped,0.002924935230577956,-7.9788743226894e-05,0.005955752810964309,0.00450045926970841,linear_reduced_moment
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,0,neural_neural_weighted_clipped_fqe,1.9117277929479413,0.13578633108017268,1.7235685693356668,0.11452150616959289,-8.16536543109302,-11.831586406340458,3.6662209752474375,3.6662209752474375,13.441176239344271,24.265970089951704,0.5336118174273656,1.7996254393483226,0.13583642907686908,1.8576104006237055,0.1417137213953679,0.45535486095148486,0.5377838736549964,1.0,0.08561286219498179,1.1402436174620834,1.0937261737787904,1.106102172753252,1.1402274036519635,992.7237694112697,0.9927237694112697,0.01,0.0,1.1437697184085847,0.08904541086878619,nan,0.07021100410934648,0.007329562173216942,186.49259494201615,0.0,stable,0.95,0.95,discounted,matched_iid,neural,neural_clipped,0.0671304217444845,0.003219294607639256,0.04064051509100545,0.039654435199652865,neural_positive_rkhs_moment
gamma_design,0.95,0.0,1000,0.05,0.1,misspecified_affine,1,linear_standard_fqe,2.4164280184312554,0.035993596433901535,2.460353702649317,0.03800581470885069,-13.127552870985545,-11.831586406340458,-1.2959664646450868,1.2959664646450868,1.679529077484685,6.412500856255814,0.12497016555194612,2.320245092296106,0.03632723591032031,2.325267086820745,0.040557814570141064,0.34728787235534464,0.3632943262631432,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,197.00629893877428,0.0,stable,0.95,0.95,discounted,matched_iid,linear,standard,nan,0.0,0.0034504731799300204,0.0012979669008125422,uniform
