run_mode,suite_name,environment_name,environment_tier,sample_size,state_dimension,coverage_setting,policy_shift_setting,reward_noise_setting,misspecification_setting,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibrated,calibration_protocol,calibrator,calibration_target,split_fraction,train_fraction,coverage_stratum,n_replications,mean_coverage_stratum_error,coverage_stratum_error_mc_se,mean_coverage_stratum_calibration_error,coverage_stratum_calibration_error_mc_se,mean_coverage_stratum_count,mean_coverage_stratum_ratio,failure_rate,eligible_fraction
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,0,100,0.057499102607108214,0.003262754160452025,0.057499102607108214,0.003262754160452025,100.0,0.5216520901116108,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,1,100,0.03647816113688837,0.0018924245186711318,0.03647816113688837,0.0018924245186711318,100.0,0.8306433073167038,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,2,100,0.02594590644586627,0.001348727754020359,0.02594590644586627,0.001348727754020359,100.0,0.9890347269677203,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,3,100,0.02599441379381088,0.0013565612639551603,0.02599441379381088,0.0013565612639551603,100.0,1.1140860740406224,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,4,100,0.030730659343401148,0.001674426321919983,0.030730659343401148,0.001674426321919983,100.0,1.5583868963704581,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,0,100,0.2030609422181381,0.016691488047288656,0.2030609422181381,0.016691488047288656,100.0,0.5216520901116108,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,1,100,0.15308298259286812,0.009621538966729267,0.15308298259286812,0.009621538966729267,100.0,0.8306433073167038,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,2,100,0.16490464495152202,0.009470402967777807,0.16490464495152202,0.009470402967777807,100.0,0.9890347269677203,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,3,100,0.1460836279401629,0.008555061765950781,0.1460836279401629,0.008555061765950781,100.0,1.1140860740406224,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,4,100,0.17640708325435772,0.011739480181843513,0.17640708325435772,0.011739480181843513,100.0,1.5583868963704581,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,isotonic,value_bellman,0.8,0.8,0,100,0.039846628425057,0.002535943026587938,0.039846628425057,0.002535943026587938,100.0,0.5216520901116108,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,isotonic,value_bellman,0.8,0.8,1,100,0.023960458808921524,0.0016232924856186405,0.023960458808921524,0.0016232924856186405,100.0,0.8306433073167038,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,isotonic,value_bellman,0.8,0.8,2,100,0.01579753552969337,0.001293692263351472,0.01579753552969337,0.001293692263351472,100.0,0.9890347269677203,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,isotonic,value_bellman,0.8,0.8,3,100,0.015316948164562114,0.0012135530708147749,0.015316948164562114,0.0012135530708147749,100.0,1.1140860740406224,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,isotonic,value_bellman,0.8,0.8,4,100,0.021675571680156103,0.0018973435667340964,0.021675571680156103,0.0018973435667340964,100.0,1.5583868963704581,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,0,100,0.1461504620936112,0.01105906627090568,0.1461504620936112,0.01105906627090568,100.0,0.5216520901116108,0.0,1.0
