run_mode,suite_name,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibration_protocol,calibrator,calibration_target,sample_size,coverage_setting,misspecification_setting,mse,relative_mse_vs_uncalibrated_all_data,mse_win_rate_vs_uncalibrated_all_data,bellman_calibration_error_plugin,relative_calibration_error_plugin_vs_uncalibrated_all_data,calibration_error_plugin_win_rate_vs_uncalibrated_all_data,bellman_calibration_error_debiased_raw,bellman_calibration_error,brier_score,relative_brier_score_vs_uncalibrated_all_data,brier_score_win_rate_vs_uncalibrated_all_data,true_v_mse,relative_true_v_mse_vs_uncalibrated_all_data,true_v_mse_win_rate_vs_uncalibrated_all_data,raw_value_oracle_spearman,raw_value_oracle_pearson,raw_value_calibration_slope,raw_value_calibration_intercept,calibration_evidence_status,scalar_cancellation_flag,failure_rate
final,mechanism_distortion_sweep,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,cross,isotonic,value_bellman,400,moderate,well_specified_linear,1.6750042563981942,0.4235482960802757,1.0,0.018735752736554152,0.18120036724893848,1.0,0.018804625612098932,0.018804625612098932,0.034302047033996405,0.2887683979332993,1.0,1.7537083346341849,0.4275958200051988,1.0,0.8391738699938993,0.8504765863653266,2.2219615313538728,-4.395415185290488,strong,False,0.0
final,mechanism_distortion_sweep,random_feature_fqe,random_feature_fqe_affine_distorted,misspecified,affine_miscalibrated,mechanism,cross,linear,value_bellman,400,moderate,well_specified_linear,1.6871438820614306,0.4266179705274157,1.0,0.017464716755255214,0.16890771000498186,1.0,0.017278511804020267,0.017278511804020267,0.03215867851029577,0.27072466153015484,1.0,1.7640739854572487,0.4301232123178436,1.0,0.8391738699938993,0.8504765863653266,2.2219615313538728,-4.395415185290488,strong,False,0.0
final,mechanism_distortion_sweep,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,cross,isotonic,value_bellman,400,moderate,well_specified_linear,0.19417795405327368,0.3827205619061525,0.94,0.003309338742733751,0.022111250027262868,1.0,0.003567022250721269,0.003567022250721269,0.021453509712584248,0.12714385850255022,1.0,0.27214408149714375,0.3748546421555063,1.0,0.8343427726167637,0.6628734577681109,25.614090319282415,-4.244826175278932,strong,False,0.0
final,mechanism_distortion_sweep,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,cross,linear,value_bellman,400,moderate,well_specified_linear,0.1621197594638525,0.31953455138925363,0.7,0.09538117735923776,0.6372865470830066,1.0,0.09988429325633089,0.09988429325633089,0.11889200861683773,0.7046114562689102,0.98,0.3197167785699138,0.4403818667031865,0.85,0.8343427726167637,0.6628734577681109,25.614090319282415,-4.244826175278932,strong,False,0.0
final,model_misspecification_sweep,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,cross,isotonic,value_bellman,500,moderate,affine,74.51989620229313,0.7427812208584105,0.92,0.11844768812424106,0.8340203887696388,0.72,0.1170288700540781,0.1170288700540781,1.0556308604265157,1.1054444585698369,0.18,84.19785763295666,0.7670763311375248,0.91,0.6377495553980089,0.6439554135458343,1.143586040022364,5.663204689917153,strong,False,0.0
final,model_misspecification_sweep,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,cross,linear,value_bellman,500,moderate,affine,76.55960199949516,0.7631121021323847,0.93,0.09386995599526961,0.6609623069286501,0.9,0.09079623667267832,0.09079623667267832,0.8594488186256755,0.900004887684204,0.86,86.15157013896031,0.7848754374726982,0.91,0.6377495553980089,0.6439554135458343,1.143586040022364,5.663204689917153,strong,False,0.0
final,model_misspecification_sweep,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,cross,isotonic,value_bellman,500,moderate,affine,99.52176489272915,0.7138083058376653,0.94,0.16243849414822456,0.7644643794010613,0.81,0.1608377271182507,0.1608377271182507,1.1033758437361672,1.0770092583488722,0.28,109.04092967299025,0.7336480504783789,0.94,0.6377754092005455,0.643985022603961,1.143678913553562,7.652754545647055,strong,False,0.0
final,model_misspecification_sweep,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,cross,linear,value_bellman,500,moderate,affine,102.02908177332833,0.7317917451051238,0.94,0.13410813236507832,0.6311366694125778,0.91,0.1310985653911355,0.1310985653911355,0.9015646043206077,0.8800205581490965,0.89,111.42025367112294,0.7496565934899014,0.94,0.6377754092005455,0.643985022603961,1.143678913553562,7.652754545647055,strong,False,0.0
final,temporal_reward_shift_sweep,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,recent_heldout,isotonic,value_bellman,2000,moderate,temporal_reward_shift,1454.4807475417945,0.6193387828164097,0.98,4.168426240682995,0.9160916652230305,0.68,4.139451643491442,4.139451643491442,21.53975512823484,1.841064137832808,0.19,1498.9575506697868,0.6266488567080549,0.98,0.4295024207152674,0.422115079144772,2.015314787209325,43.879256268664655,strong,False,0.0
final,temporal_reward_shift_sweep,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,recent_heldout,linear,value_bellman,2000,moderate,temporal_reward_shift,1465.278070942739,0.6239364381268139,0.97,3.263170581371976,0.7171443607710455,0.81,3.095884597746405,3.095884597746405,16.118849730202566,1.377723934405,0.37,1507.2119585328103,0.6300996650700759,0.97,0.4295024207152674,0.422115079144772,2.015314787209325,43.879256268664655,strong,False,0.0
