suite_name,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibration_protocol,calibrator,calibration_target,sample_size,coverage_setting,policy_shift_setting,misspecification_setting,split_fraction,mean_value_estimate,value_bias,bias_mc_se,value_variance,mse,mse_mc_se,relative_mse_vs_uncalibrated_all_data,mse_win_rate_vs_uncalibrated_all_data,calibration_evidence_status,scalar_cancellation_flag,relative_calibration_error_plugin_vs_uncalibrated_all_data,calibration_error_plugin_win_rate_vs_uncalibrated_all_data,relative_true_v_mse_vs_uncalibrated_all_data,true_v_mse_win_rate_vs_uncalibrated_all_data,relative_true_v_mse_vs_current_retrain_small,relative_calibration_error_plugin_vs_current_retrain_small,true_v_mse_win_rate_vs_current_retrain_small,calibration_error_plugin_win_rate_vs_current_retrain_small,true_v_mse,true_v_mse_mc_se,true_q_mse,true_q_mse_mc_se,bellman_outcome_mse,bellman_outcome_mse_mc_se,brier_score,brier_score_mc_se,bellman_calibration_error,bellman_calibration_error_mc_se,bellman_calibration_error_plugin,bellman_calibration_error_debiased_raw,bellman_calibration_error_debiased_raw_mc_se,bellman_calibration_bins,bellman_calibration_test_size,value_oracle_pearson,value_oracle_spearman,value_calibration_slope,value_calibration_intercept,raw_value_oracle_pearson,raw_value_oracle_spearman,raw_value_calibration_slope,raw_value_calibration_intercept,importance_weight_ess,importance_weight_max,interval_coverage_95,interval_length_95,actual_bellman_iterations,feature_dimension,ridge_alpha,q_train_min,q_train_max,q_train_std,saddle_condition_proxy,saddle_gradient_norm_last,saddle_exploding_rate,runtime,runtime_se,failure_rate
model_misspecification_sweep,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,cross,isotonic,value_bellman,500,moderate,0.75,affine,0.8,18.15398316830683,-6.761419494100696,0.5393889418375654,48.681083671683865,74.51989620229313,8.284169654481286,0.7427812208584105,0.92,strong,False,0.8340203887696388,0.72,0.7670763311375248,0.91,,,0.0,0.0,84.19785763295666,8.38140890542327,,,1.0556308604265157,0.0999904916162955,1.0556308604265157,0.0999904916162955,0.1170288700540781,0.0084149163733156,0.118447688124241,0.1170288700540781,0.0084149163733156,23.31,2500.0,0.6427644977835573,0.6370007155634565,1.1008421405610982,4.9055073470556545,0.6439554135458343,0.6377495553980089,1.143586040022364,5.663204689917153,0.7213498352334428,7.495628184507649,0.01,0.3880642086691251,25.0,15.0,0.0001,9.848988786489166,23.1283299082329,2.248830004820892,,,,0.06076492501772,0.0015579622749424,0.0
model_misspecification_sweep,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,cross,linear,value_bellman,500,moderate,0.75,affine,0.8,18.092694494043588,-6.82270816836394,0.5505759633351015,47.52563501996519,76.55960199949516,8.41615404558237,0.7631121021323847,0.93,strong,False,0.6609623069286501,0.9,0.7848754374726982,0.91,,,0.0,0.0,86.15157013896031,8.49696613111118,,,0.8594488186256755,0.0826314274988798,0.8594488186256755,0.0826314274988798,0.0907962366726783,0.0060324915384701,0.0938699559952696,0.0907962366726783,0.0060324915384701,30.0,2500.0,0.6439554135458343,0.6377495553980089,1.1733842718155107,3.631413099588455,0.6439554135458343,0.6377495553980089,1.143586040022364,5.663204689917153,0.7213498352334428,7.495628184507649,0.02,0.3677492789935586,25.0,15.0,0.0001,9.848988786489166,23.1283299082329,2.248830004820892,,,,0.0604084883577888,0.001585756944656,0.0
model_misspecification_sweep,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,uncalibrated_all_data,none,value_bellman,500,moderate,0.75,affine,1.0,16.814845630432814,-8.100557031974711,0.5920898972429719,40.4645041045145,100.32549842357707,10.525283138545754,1.0,0.0,neutral,False,1.0,0.0,1.0,0.0,,,0.0,0.0,109.76464038213336,10.5826184945329,,,0.9549379457672912,0.1089852010578502,0.9549379457672912,0.1089852010578502,0.1383597117012155,0.0116820020703689,0.14202013490219,0.1383597117012155,0.0116820020703689,30.0,2500.0,0.6445155512221981,0.6382566547661849,1.1450957595325648,5.6355549559908305,0.6445155512221981,0.6382566547661849,1.1450957595325648,5.6355549559908305,0.7230651302580594,10.744640471920652,0.02,0.3770911090322065,25.0,15.0,0.0001,9.785418801149094,23.246040886210476,2.243264823557648,,,,0.0141762458300217,0.0013558346477421,0.0
model_misspecification_sweep,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,cross,isotonic,value_bellman,500,moderate,0.75,affine,0.8,16.81569302825295,-8.099709634154573,0.5853123894844248,40.34056346049609,99.52176489272917,10.613854721864367,0.7138083058376653,0.94,strong,False,0.7644643794010613,0.81,0.7336480504783789,0.94,,,0.0,0.0,109.04092967299025,10.683966155769529,,,1.1033758437361672,0.1051104701523717,1.1033758437361672,0.1051104701523717,0.1608377271182507,0.0128018233784817,0.1624384941482245,0.1608377271182507,0.0128018233784817,23.14,2500.0,0.6426470049815052,0.6368139726762859,1.10055531919594,6.37842647745585,0.643985022603961,0.6377754092005455,1.143678913553562,7.652754545647055,0.7213498352334428,7.495628184507649,0.01,0.3875979990870214,20.0,15.0,0.001,8.104938603202353,21.38914425705681,2.2483750353614713,,,,0.0526262788078747,0.001331213058774,0.0
model_misspecification_sweep,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,cross,linear,value_bellman,500,moderate,0.75,affine,0.8,16.74247328330929,-8.172929379098235,0.5965583712251473,39.3766083714141,102.02908177332831,10.739800054659614,0.7317917451051238,0.94,strong,False,0.6311366694125778,0.91,0.7496565934899014,0.94,,,0.0,0.0,111.42025367112294,10.789247407187478,,,0.9015646043206076,0.0850279614907681,0.9015646043206076,0.0850279614907681,0.1310985653911355,0.0090299409426762,0.1341081323650783,0.1310985653911355,0.0090299409426762,30.0,2500.0,0.643985022603961,0.6377754092005455,1.17194127020767,5.2380775554263685,0.643985022603961,0.6377754092005455,1.143678913553562,7.652754545647055,0.7213498352334428,7.495628184507649,0.02,0.368182835713412,20.0,15.0,0.001,8.104938603202353,21.38914425705681,2.2483750353614713,,,,0.0518594992009456,0.0014266132104884,0.0
model_misspecification_sweep,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,uncalibrated_all_data,none,value_bellman,500,moderate,0.75,affine,1.0,15.066834111611596,-9.848568550795928,0.654659717260468,30.936378841779767,139.42365769467867,14.056477004131589,1.0,0.0,neutral,False,1.0,0.0,1.0,0.0,,,0.0,0.0,148.62839150446806,14.086176659104698,,,1.0244812987287748,0.1124064630697959,1.0244812987287748,0.1124064630697959,0.20885137428947,0.0177107342264189,0.2124866750174691,0.20885137428947,0.0177107342264189,30.0,2500.0,0.6445127171885171,0.6382544551216729,1.1452000573818957,7.629810249038968,0.6445127171885171,0.6382544551216729,1.1452000573818957,7.629810249038968,0.7230651302580594,10.744640471920652,0.01,0.3770132706903747,20.0,15.0,0.001,8.038758959319408,21.49686043676995,2.242777310600279,,,,0.0094605816109105,0.0003941156436563,0.0
